"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
316,12,"Order","Genus",0.0579006305648166,0.0179714926575939,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
549,20,"Family","Genus",0.0127097868513613,0.0105778705440782,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
1397,14,"Family","Family",0.0174111228375878,0.0174111228375878,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae",NA
1747,28,"Order","Genus",0.0875325139184578,0.0577537642214844,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
28090,42,"Order","Family",0.0708774928066924,0.0714882931142232,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae",NA
28454,23,"Class","Order",0.00155660763291616,0.00155668347030608,"Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales",NA,NA
29370,55,"Class","Family",0.0147519979470451,0.00489334202686488,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae",NA
29466,13,"Class","Family",0.00133060365619581,0.00115164985922891,"Bacteria","Bacillota","Negativicutes","Veillonellales","Veillonellaceae",NA
34062,13,"Genus","Genus",0.0177281189215066,0.0177281189215066,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella"
49319,15,"Class","Order",0.00293637539568925,0.00293683989809371,"Bacteria","Actinomycetota","Rubrobacteria","Rubrobacterales",NA,NA
62322,14,"Order","Genus",0.00265345161772856,0.0018393478001355,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
119219,21,"Class","Family",0.0833489334101906,0.0208799330130682,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae",NA
165179,18,"Class","Family",0.00385706426254277,0.00196535536466239,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae",NA
185951,35,"Order","Family",0.0331052165280318,0.0295596657598137,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
207340,16,"Order","Family",0.0124110146216889,0.0086573819449792,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
544580,32,"Order","Genus",0.00856884939039928,0.00755869308273868,"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces"
2080419,28,"Class","Family",0.00818410468177339,0.00816740078312514,"Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae",NA
2487072,37,"Class","Family",0.0103164991019839,0.00586474694188895,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae",NA
2596915,30,"Phylum","Family",0.0260780872745806,0.00860644126221963,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae",NA
2851567,27,"Order","Family",0.0152802874265867,0.0155430403437703,"Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae",NA
2853227,15,"Order","Family",0.0031032912275085,0.000741873676178164,"Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Calotrichaceae",NA
2861285,38,"Order","Family",0.00989820099440535,0.0100244196297859,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA
2973977,11,"Family","Genus",0.00457145283092242,0.00429954716834605,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Cellulomonadaceae","Cellulomonas"
